No,Original_Name,Name,Generation,Height,Weight,Type1,Type2,Ability1,Ability2,Ability_Hidden,Color,Gender_Male,Gender_Female,Gender_Unknown,Egg_Steps,Egg_Group1,Egg_Group2,Capture_Rate,Base_EXP,Final_EXP,Category,Mega_Evolution _Flag,Region_Forme,HP,Attack,Defense,SP_Attack,SP_Defense,Speed,Total,Ef_HP,Ef_Attack,Ef_Defense,Ef_SP_Attack,Ef_SP_Defense,Ef_Speed
123,Scyther,Scyther,1,1.5m,56.0kg,Bug,Flying,Swarm,Technician,Steadfast,Green,50,50,0,25,Bug,,45,100,1000000,Ordinary,,,70,110,80,55,80,105,500,0,1,0,0,0,0
124,Jynx,Jynx,1,1.4m,40.6kg,Ice,Psychic,Oblivious,Forewarn,Dry Skin,Red,0,100,0,25,Human-Like,,45,159,1000000,Ordinary,,,65,50,35,115,95,95,455,0,0,0,2,0,0
125,Electabuzz,Electabuzz,1,1.1m,30.0kg,Electric,,Static,,Vital Spirit,Yellow,75,25,0,25,Human-Like,,45,172,1000000,Ordinary,,,65,83,57,95,85,105,490,0,0,0,0,0,2
126,Magmar,Magmar,1,1.3m,44.5kg,Fire,,Flame Body,,Vital Spirit,Red,75,25,0,25,Human-Like,,45,173,1000000,Ordinary,,,65,95,57,100,85,93,495,0,0,0,2,0,0
127,Pinsir,Pinsir,1,1.5m,55.0kg,Bug,,Hyper Cutter,Mold Breaker,Moxie,Brown,50,50,0,25,Bug,,45,175,1250000,Ordinary,,,65,125,100,55,70,85,500,0,2,0,0,0,0
128,Tauros,Tauros,1,1.4m,88.4kg,Normal,,Intimidate,Anger Point,Sheer Force,Brown,100,0,0,20,Ground,,45,172,1250000,Ordinary,,,75,100,95,40,70,110,490,0,1,0,0,0,1
129,Magikarp,Magikarp,1,0.9m,10.0kg,Water,,Swift Swim,,Rattled,Red,50,50,0,5,Water2,Dragon,255,40,1250000,Ordinary,,,20,10,55,15,20,80,200,0,0,0,0,0,1
130,Gyarados,Gyarados,1,6.5m,235.0kg,Water,Flying,Intimidate,,Moxie,Blue,50,50,0,5,Water2,Dragon,45,189,1250000,Ordinary,,,95,125,79,60,100,81,540,0,2,0,0,0,0
131,Lapras,Lapras,1,2.5m,220.0kg,Water,Ice,Water Absorb,Shell Armor,Hydration,Blue,50,50,0,40,Monster,Water1,45,187,1250000,Ordinary,,,130,85,80,85,95,60,535,2,0,0,0,0,0
132,Ditto,Ditto,1,0.3m,4.0kg,Normal,,Limber,,Imposter,Purple,0,0,100,20,Ditto,,35,101,1000000,Ordinary,,,48,48,48,48,48,48,288,1,0,0,0,0,0
133,Eevee,Eevee,1,0.3m,6.5kg,Normal,,Run Away,Adaptability,Anticipation,Brown,87.5,12.5,0,35,Ground,,45,65,1000000,Ordinary,,,55,55,50,45,65,55,325,0,0,0,0,1,0
134,Vaporeon,Vaporeon,1,1.0m,29.0kg,Water,,Water Absorb,,Hydration,Blue,87.5,12.5,0,35,Ground,,45,184,1000000,Ordinary,,,130,65,60,110,95,65,525,2,0,0,0,0,0
135,Jolteon,Jolteon,1,0.8m,24.5kg,Electric,,Volt Absorb,,Quick Feet,Yellow,87.5,12.5,0,35,Ground,,45,184,1000000,Ordinary,,,65,65,60,110,95,130,525,0,0,0,0,0,2
136,Flareon,Flareon,1,0.9m,25.0kg,Fire,,Flash Fire,,Guts,Red,87.5,12.5,0,35,Ground,,45,184,1000000,Ordinary,,,65,130,60,95,110,65,525,0,2,0,0,0,0
137,Porygon,Porygon,1,0.8m,36.5kg,Normal,,Trace,Download,Analytic,Pink,0,0,100,20,Mineral,,45,79,1000000,Ordinary,,,65,60,70,85,75,40,395,0,0,0,1,0,0
138,Omanyte,Omanyte,1,0.4m,7.5kg,Rock,Water,Swift Swim,Shell Armor,Weak Armor,Blue,87.5,12.5,0,30,Water1,Water3,45,71,1000000,Ordinary,,,35,40,100,90,55,35,355,0,0,1,0,0,0
139,Omastar,Omastar,1,1.0m,35.0kg,Rock,Water,Swift Swim,Shell Armor,Weak Armor,Blue,87.5,12.5,0,30,Water1,Water3,45,173,1000000,Ordinary,,,70,60,125,115,70,55,495,0,0,2,0,0,0
140,Kabuto,Kabuto,1,0.5m,11.5kg,Rock,Water,Swift Swim,Battle Armor,Weak Armor,Brown,87.5,12.5,0,30,Water1,Water3,45,71,1000000,Ordinary,,,30,80,90,55,45,55,355,0,0,1,0,0,0
141,Kabutops,Kabutops,1,1.3m,40.5kg,Rock,Water,Swift Swim,Battle Armor,Weak Armor,Brown,87.5,12.5,0,30,Water1,Water3,45,173,1000000,Ordinary,,,60,115,105,65,70,80,495,0,2,0,0,0,0
142,Aerodactyl,Aerodactyl,1,1.8m,59.0kg,Rock,Flying,Rock Head,Pressure,Unnerve,Purple,87.5,12.5,0,35,Flying,,45,180,1250000,Ordinary,,,80,105,65,60,75,130,515,0,0,0,0,0,2
143,Snorlax,Snorlax,1,2.1m,460.0kg,Normal,,Immunity,Thick Fat,Gluttony,Black,87.5,12.5,0,40,Monster,,25,189,1250000,Ordinary,,,160,110,65,65,110,30,540,2,0,0,0,0,0
144,Articuno,Articuno,1,1.7m,55.4kg,Ice,Flying,Pressure,,Snow Cloak,Blue,0,0,100,80,Undiscovered,,3,290,1250000,Legendary,,,90,85,100,95,125,85,580,0,0,0,0,3,0
145,Zapdos,Zapdos,1,1.6m,52.6kg,Electric,Flying,Pressure,,Static,Yellow,0,0,100,80,Undiscovered,,3,290,1250000,Legendary,,,90,90,85,125,90,100,580,0,0,0,3,0,0
146,Moltres,Moltres,1,2.0m,60.0kg,Fire,Flying,Pressure,,Flame Body,Yellow,0,0,100,80,Undiscovered,,3,290,1250000,Legendary,,,90,100,90,125,85,90,580,0,0,0,3,0,0
147,Dratini,Dratini,1,1.8m,3.3kg,Dragon,,Shed Skin,,Marvel Scale,Blue,50,50,0,40,Water1,Dragon,45,60,1250000,Ordinary,,,41,64,45,50,50,50,300,0,1,0,0,0,0
148,Dragonair,Dragonair,1,4.0m,16.5kg,Dragon,,Shed Skin,,Marvel Scale,Blue,50,50,0,40,Water1,Dragon,45,147,1250000,Ordinary,,,61,84,65,70,70,70,420,0,2,0,0,0,0
149,Dragonite,Dragonite,1,2.2m,210.0kg,Dragon,Flying,Inner Focus,,Multiscale,Brown,50,50,0,40,Water1,Dragon,45,300,1250000,Ordinary,,,91,134,95,100,100,80,600,0,3,0,0,0,0
150,Mewtwo,Mewtwo,1,2.0m,122.0kg,Psychic,,Pressure,,Unnerve,Purple,0,0,100,120,Undiscovered,,3,340,1250000,Legendary,,,106,110,90,154,90,130,680,0,0,0,3,0,0
151,Mew,Mew,1,0.4m,4.0kg,Psychic,,Synchronize,,,Pink,0,0,100,120,Undiscovered,,45,300,1058960,Mythical,,,100,100,100,100,100,100,600,3,0,0,0,0,0
